name,filename,source,accession
CTCF,wgEncodeAwgTfbsBroadHuvecCtcfUniPk.narrowPeak,ENCODE,GSE29611
DNase-seq,wgEncodeAwgDnaseUwdukeHuvecUniPk.narrowPeak,ENCODE,GSE29692
EZH2,wgEncodeAwgTfbsBroadHuvecEzh239875UniPk.narrowPeak,ENCODE,GSE29611
FAIRE-seq,wgEncodeOpenChromFaireHuvecPk.narrowPeak,ENCODE,GSE35239
FOS,wgEncodeAwgTfbsSydhHuvecCfosUcdUniPk.narrowPeak,ENCODE,GSE31477
GATA2,wgEncodeAwgTfbsSydhHuvecGata2UcdUniPk.narrowPeak,ENCODE,GSE31477
H2AZ,E122-H2A.Z.narrowPeak,ENCODE,GSE29611
H3K27ac,E122-H3K27ac.narrowPeak,ENCODE,GSE29611
H3K27me3,E122-H3K27me3.narrowPeak,ENCODE,GSE29611
H3K36me3,E122-H3K36me3.narrowPeak,ENCODE,GSE29611
H3K4me1,E122-H3K4me1.narrowPeak,ENCODE,GSE29611
H3K4me2,E122-H3K4me2.narrowPeak,ENCODE,GSE29611
H3K4me3,E122-H3K4me3.narrowPeak,ENCODE,GSE29611
H3K79me2,E122-H3K79me2.narrowPeak,ENCODE,GSE29611
H3K9ac,E122-H3K9ac.narrowPeak,ENCODE,GSE29611
H3K9me1,E122-H3K9me1.narrowPeak,ENCODE,GSE29611
H3K9me3,E122-H3K9me3.narrowPeak,ENCODE,GSE29611
H4K20me1,E122-H4K20me1.narrowPeak,ENCODE,GSE29611
JUN,wgEncodeAwgTfbsSydhHuvecCjunUniPk.narrowPeak,ENCODE,GSE31477
MAX,wgEncodeAwgTfbsSydhHuvecMaxUniPk.narrowPeak,ENCODE,GSE31477
MYC,wgEncodeAwgTfbsUtaHuvecCmycUniPk.narrowPeak,ENCODE,GSE33213
POLR2A,wgEncodeAwgTfbsSydhHuvecPol2UniPk.narrowPeak,ENCODE,GSE31477
