name,filename,source,accession
BDP1,wgEncodeAwgTfbsSydhHelas3Bdp1UniPk.narrowPeak,ENCODE,GSE31477
BRCA1,wgEncodeAwgTfbsSydhHelas3Brca1a300IggrabUniPk.narrowPeak,ENCODE,GSE31477
BRF1,wgEncodeAwgTfbsSydhHelas3Brf1UniPk.narrowPeak,ENCODE,GSE31477
BRF2,wgEncodeAwgTfbsSydhHelas3Brf2UniPk.narrowPeak,ENCODE,GSE31477
CEBPB,wgEncodeAwgTfbsSydhHelas3CebpbIggrabUniPk.narrowPeak,ENCODE,GSE31477
CHD2,wgEncodeAwgTfbsSydhHelas3Chd2IggrabUniPk.narrowPeak,ENCODE,GSE31477
CTCF,wgEncodeAwgTfbsBroadHelas3CtcfUniPk.narrowPeak,ENCODE,GSE29611
DNase-seq,wgEncodeAwgDnaseUwdukeHelas3UniPk.narrowPeak,ENCODE,GSE29692
E2F1,wgEncodeAwgTfbsSydhHelas3E2f1UniPk.narrowPeak,ENCODE,GSE31477
E2F4,wgEncodeAwgTfbsSydhHelas3E2f4UniPk.narrowPeak,ENCODE,GSE31477
E2F6,wgEncodeAwgTfbsSydhHelas3E2f6UniPk.narrowPeak,ENCODE,GSE31477
ELK1,wgEncodeAwgTfbsSydhHelas3Elk112771IggrabUniPk.narrowPeak,ENCODE,GSE31477
ELK4,wgEncodeAwgTfbsSydhHelas3Elk4UcdUniPk.narrowPeak,ENCODE,GSE31477
EP300,wgEncodeAwgTfbsSydhHelas3P300sc584sc584IggrabUniPk.narrowPeak,ENCODE,GSE31477
EZH2,wgEncodeAwgTfbsBroadHelas3Ezh239875UniPk.narrowPeak,ENCODE,GSE29611
FAIRE-seq,wgEncodeOpenChromFaireHelas3Pk.narrowPeak,ENCODE,GSE35239
FOS,wgEncodeAwgTfbsSydhHelas3CfosUniPk.narrowPeak,ENCODE,GSE31477
GABPA,wgEncodeAwgTfbsHaibHelas3GabpPcr1xUniPk.narrowPeak,ENCODE,GSE32465
GTF2F1,wgEncodeAwgTfbsSydhHelas3Gtf2f1ab28179IggrabUniPk.narrowPeak,ENCODE,GSE31477
GTF3C2,wgEncodeAwgTfbsSydhHelas3Tf3c110UniPk.narrowPeak,ENCODE,GSE31477
H2AZ,wgEncodeBroadHistoneHelas3H2azPk.broadPeak,ENCODE,GSE29611
H3K27ac,wgEncodeBroadHistoneHelas3H3k27acStdPk.broadPeak,ENCODE,GSE29611
H3K27me3,wgEncodeBroadHistoneHelas3H3k27me3StdPk.broadPeak,ENCODE,GSE29611
H3K36me3,wgEncodeBroadHistoneHelas3H3k36me3StdPk.broadPeak,ENCODE,GSE29611
H3K4me1,wgEncodeBroadHistoneHelas3H3k04me1StdPk.broadPeak,ENCODE,GSE29611
H3K4me2,wgEncodeBroadHistoneHelas3H3k4me2StdPk.broadPeak,ENCODE,GSE29611
H3K4me3,wgEncodeBroadHistoneHelas3H3k4me3StdPk.broadPeak,ENCODE,GSE29611
H3K79me2,wgEncodeBroadHistoneHelas3H3k79me2StdPk.broadPeak,ENCODE,GSE29611
H3K9ac,wgEncodeBroadHistoneHelas3H3k9acStdPk.broadPeak,ENCODE,GSE29611
H3K9me3,wgEncodeBroadHistoneHelas3H3k09me3Pk.broadPeak,ENCODE,GSE29611
H4K20me1,wgEncodeBroadHistoneHelas3H4k20me1StdPk.broadPeak,ENCODE,GSE29611
HA-E2F1,wgEncodeAwgTfbsSydhHelas3Hae2f1UniPk.narrowPeak,ENCODE,GSE31477
HCFC1,wgEncodeSydhTfbsHelas3Hcfc1nb10068209IggrabPk.narrowPeak,ENCODE,GSE31477
IRF3,wgEncodeAwgTfbsSydhHelas3Irf3IggrabUniPk.narrowPeak,ENCODE,GSE31477
JUN,wgEncodeAwgTfbsSydhHelas3CjunIggrabUniPk.narrowPeak,ENCODE,GSE31477
JUND,wgEncodeAwgTfbsSydhHelas3JundIggrabUniPk.narrowPeak,ENCODE,GSE31477
KAT2A,wgEncodeSydhTfbsHelas3Gcn5StdPk.narrowPeak,ENCODE,GSE31477
MAFK,wgEncodeAwgTfbsSydhHelas3MafkIggrabUniPk.narrowPeak,ENCODE,GSE31477
MAX,wgEncodeAwgTfbsSydhHelas3MaxIggrabUniPk.narrowPeak,ENCODE,GSE31477
MAZ,wgEncodeAwgTfbsSydhHelas3Mazab85725IggrabUniPk.narrowPeak,ENCODE,GSE31477
MXI1,wgEncodeAwgTfbsSydhHelas3Mxi1af4185IggrabUniPk.narrowPeak,ENCODE,GSE31477
MYC,wgEncodeAwgTfbsSydhHelas3CmycUniPk.narrowPeak,ENCODE,GSE31477
NFYA,wgEncodeAwgTfbsSydhHelas3NfyaIggrabUniPk.narrowPeak,ENCODE,GSE31477
NFYB,wgEncodeAwgTfbsSydhHelas3NfybIggrabUniPk.narrowPeak,ENCODE,GSE31477
NR2C2,wgEncodeAwgTfbsSydhHelas3Tr4UniPk.narrowPeak,ENCODE,GSE31477
NRF1,wgEncodeAwgTfbsSydhHelas3Nrf1IggmusUniPk.narrowPeak,ENCODE,GSE31477
POLR2A,wgEncodeAwgTfbsHaibHelas3Pol2Pcr1xUniPk.narrowPeak,ENCODE,GSE32465
POLR3A,wgEncodeAwgTfbsSydhHelas3Rpc155UniPk.narrowPeak,ENCODE,GSE31477
PRDM1,wgEncodeAwgTfbsSydhHelas3Prdm19115IggrabUniPk.narrowPeak,ENCODE,GSE31477
RAD21,wgEncodeAwgTfbsSydhHelas3Rad21IggrabUniPk.narrowPeak,ENCODE,GSE31477
RCOR1,wgEncodeAwgTfbsSydhHelas3Corestsc30189IggrabUniPk.narrowPeak,ENCODE,GSE31477
REST,wgEncodeAwgTfbsHaibHelas3NrsfPcr1xUniPk.narrowPeak,ENCODE,GSE32465
RFX5,wgEncodeAwgTfbsSydhHelas3Rfx5200401194IggrabUniPk.narrowPeak,ENCODE,GSE31477
SMARCA4,wgEncodeAwgTfbsSydhHelas3Brg1IggmusUniPk.narrowPeak,ENCODE,GSE31477
SMARCB1,wgEncodeAwgTfbsSydhHelas3Ini1IggmusUniPk.narrowPeak,ENCODE,GSE31477
SMARCC1,wgEncodeAwgTfbsSydhHelas3Baf155IggmusUniPk.narrowPeak,ENCODE,GSE31477
SMARCC2,wgEncodeAwgTfbsSydhHelas3Baf170IggmusUniPk.narrowPeak,ENCODE,GSE31477
SMC3,wgEncodeAwgTfbsSydhHelas3Smc3ab9263IggrabUniPk.narrowPeak,ENCODE,GSE31477
STAT1,wgEncodeAwgTfbsSydhHelas3Stat1Ifng30UniPk.narrowPeak,ENCODE,GSE31477
STAT3,wgEncodeAwgTfbsSydhHelas3Stat3IggrabUniPk.narrowPeak,ENCODE,GSE31477
SUPT20H,wgEncodeAwgTfbsSydhHelas3Spt20UniPk.narrowPeak,ENCODE,GSE31477
TAF1,wgEncodeAwgTfbsHaibHelas3Taf1Pcr1xUniPk.narrowPeak,ENCODE,GSE32465
TBP,wgEncodeAwgTfbsSydhHelas3TbpIggrabUniPk.narrowPeak,ENCODE,GSE31477
TCF7L2,wgEncodeAwgTfbsSydhHelas3Tcf7l2c9b92565UcdUniPk.narrowPeak,ENCODE,GSE31477
TFAP2A,wgEncodeAwgTfbsSydhHelas3Ap2alphaUniPk.narrowPeak,ENCODE,GSE31477
TFAP2C,wgEncodeAwgTfbsSydhHelas3Ap2gammaUniPk.narrowPeak,ENCODE,GSE31477
USF2,wgEncodeAwgTfbsSydhHelas3Usf2IggmusUniPk.narrowPeak,ENCODE,GSE31477
ZKSCAN1,wgEncodeAwgTfbsSydhHelas3Zkscan1hpa006672IggrabUniPk.narrowPeak,ENCODE,GSE31477
ZNF143,wgEncodeAwgTfbsSydhHelas3Znf143IggrabUniPk.narrowPeak,ENCODE,GSE31477
ZNF274,wgEncodeAwgTfbsSydhHelas3Znf274UcdUniPk.narrowPeak,ENCODE,GSE31477
ZZZ3,wgEncodeAwgTfbsSydhHelas3Zzz3UniPk.narrowPeak,ENCODE,GSE31477
