name,filename,source,accession
SUMO2-C,SUMO2-C-Niskanen_peaks.narrowPeak,Niskanen et al.,GSE66448
SUMO2-HS,SUMO2-HS-Niskanen_peaks.narrowPeak,Niskanen et al.,GSE66448
ARID3A,wgEncodeAwgTfbsSydhK562Arid3asc8821IggrabUniPk.narrowPeak,ENCODE,GSE31477
ATF1,wgEncodeAwgTfbsSydhK562Atf106325UniPk.narrowPeak,ENCODE,GSE31477
ATF3,wgEncodeAwgTfbsHaibK562Atf3V0416101UniPk.narrowPeak,ENCODE,GSE32465
BACH1,wgEncodeAwgTfbsSydhK562Bach1sc14700IggrabUniPk.narrowPeak,ENCODE,GSE31477
BCL3,wgEncodeAwgTfbsHaibK562Bcl3Pcr1xUniPk.narrowPeak,ENCODE,GSE32465
BCLAF1,wgEncodeAwgTfbsHaibK562Bclaf101388Pcr1xUniPk.narrowPeak,ENCODE,GSE32465
BDP1,wgEncodeAwgTfbsSydhK562Bdp1UniPk.narrowPeak,ENCODE,GSE31477
BHLHE40,wgEncodeAwgTfbsSydhK562Bhlhe40nb100IggrabUniPk.narrowPeak,ENCODE,GSE31477
BRF1,wgEncodeAwgTfbsSydhK562Brf1UniPk.narrowPeak,ENCODE,GSE31477
BRF2,wgEncodeAwgTfbsSydhK562Brf2UniPk.narrowPeak,ENCODE,GSE31477
CBX2,wgEncodeBroadHistoneK562Cbx2Pk.broadPeak,ENCODE,GSE29611
CBX3,wgEncodeAwgTfbsHaibK562Cbx3sc101004V0422111UniPk.narrowPeak,ENCODE,GSE32465
CBX8,wgEncodeBroadHistoneK562Cbx8Pk.broadPeak,ENCODE,GSE29611
CCNT2,wgEncodeAwgTfbsSydhK562Ccnt2UniPk.narrowPeak,ENCODE,GSE31477
CEBPB,wgEncodeAwgTfbsHaibK562Cebpbsc150V0422111UniPk.narrowPeak,ENCODE,GSE32465
CEBPD,wgEncodeHaibTfbsK562Cebpdsc636V0422111PkRep1.broadPeak,ENCODE,GSE32465
CEBPD,wgEncodeHaibTfbsK562Cebpdsc636V0422111PkRep2.broadPeak,ENCODE,GSE32465
CHD1,wgEncodeAwgTfbsBroadK562Chd1a301218aUniPk.narrowPeak,ENCODE,GSE29611
