feature,mean,sem,std
DNase-seq (enhancer),99.75211685100723,0.24788314899276714,0.7838753443920174
H3K4me1 (enhancer),93.33477547425028,1.1080399038654296,3.503929834568767
CAGE (enhancer),89.39526911890088,0.9376586791952002,2.965137094081971
H3K4me2 (enhancer),86.74878547352992,1.153499943110483,3.6476871011037773
H2AZ (enhancer),84.61175198188911,0.9394782166627069,2.970890976767307
H3K4me3 (enhancer),81.69626104726609,0.902811714506802,2.8549413161231727
H3K27ac (enhancer),78.20543065840606,1.3521124693370523,4.275755055819664
H3K9ac (enhancer),72.80162835508115,1.1242247553615567,3.5551108288881124
H3K9ac (promoter),69.26832045816403,0.9750680526936576,3.083435920177038
H3K4me2 (promoter),67.87684015656666,0.7371634450851282,2.331115494285461
H2AZ (promoter),67.74547457829883,0.9910416585326254,3.1339488970739406
H3K4me3 (promoter),67.54281970935764,1.4297529541825018,4.52127582657107
RUNX3 (enhancer),66.0844002856481,0.7787728512588499,2.4626959898814933
RAD21 (enhancer),64.60190355569952,0.9604284988362279,3.037141586058856
CAGE (promoter),61.78728002364014,0.9387184970294434,2.9684885323430463
H3K36me3 (enhancer),59.47365779817742,0.7025825890474546,2.221761225768027
H3K27ac (promoter),58.14011931416245,0.7778061923155981,2.4596391459002462
H3K79me2 (enhancer),57.16616512720119,0.7728954951153321,2.4441101578479936
DNase-seq (promoter),56.815236573035904,0.8669643943471098,2.741582136405275
H3K4me1 (promoter),54.496109338719705,0.6449980944096602,2.0396630648028435
SMC3 (enhancer),53.52326147346364,1.0796976770201658,3.4143038437765645
POLR2A (promoter),53.29246527385815,0.49135433531308115,1.5537988377874397
ZNF384 (enhancer),51.36697312560672,0.6746447415253338,2.133413994675634
H4K20me1 (enhancer),50.370240986228254,0.32920325654307786,1.041032103820855
H3K9me3 (enhancer),48.99016656913078,0.5318742798309493,1.681934153127556
H3K79me2 (promoter),47.954779985097346,0.6535055719188845,2.0665660708746487
CUX1 (enhancer),46.944897214614286,0.9748987126476792,3.0829004199326686
CTCF (enhancer),46.48970301071537,0.6763737936462195,2.1388817375707774
RAD21 (promoter),46.2730408325992,0.7612413321300512,2.4072564585916787
RUNX3 (promoter),46.029749204679774,0.8302033610566215,2.6253335420660573
H3K27me3 (enhancer),45.85076297899356,0.6743577897340092,2.1325065734363826
Methylation (enhancer),44.06023624840846,1.0379910370371728,3.2824158678776607
SPI1 (enhancer),43.94300904197338,1.0321317522102635,3.2638871823649622
SMC3 (promoter),43.57381760936342,0.6703572482554458,2.119855750490145
ELF1 (promoter),43.507408019767716,0.5813423368833525,1.8383658848363056
Methylation (promoter),43.409004649414314,0.4820082074414018,1.5242437864097511
TAF1 (promoter),42.69341475487394,0.4407142293636977,1.3936607620351444
EGR1 (promoter),40.895019534203485,0.5868549848014379,1.855798408196041
H3K36me3 (promoter),40.417678087063805,0.38087473415600176,1.2044316631440948
EBF1 (enhancer),40.186349324293914,0.7128944394591492,2.254370159959927
POU2F2 (promoter),39.64013371152264,0.3815768162476298,1.2066518416580545
PML (promoter),39.275341991735004,0.6432610241647849,2.0341699663733315
H4K20me1 (promoter),38.97628162956728,0.493986962904944,1.5621239372087303
EBF1 (promoter),38.707646593180286,0.4436005328695249,1.4027880551320875
MXI1 (promoter),38.39876504423389,0.37388469687544407,1.1823272244080432
CUX1 (promoter),38.15869958556955,0.5273271168262249,1.667554761140572
MAZ (promoter),36.82163740772247,0.5832219027540946,1.8443095940001684
ZNF384 (promoter),36.81085948873744,0.6388888770651622,2.0203440232732244
TBP (promoter),36.072437207552774,0.3893394288935147,1.2311993782126769
FOXM1 (enhancer),34.74810048113487,0.5922216244917264,1.8727692129988134
CREB1 (promoter),34.65002736288996,0.5368251698701261,1.6975902420963953
PAX5 (enhancer),34.39028407960931,0.6636180554246753,2.0985445515538323
CHD2 (promoter),34.29676551296778,0.6762815292572024,2.1385899719545596
BATF (enhancer),34.13097512277724,0.3546526587768349,1.1215101799693041
PAX5 (promoter),34.12847014939366,0.31896925887569927,1.0086693616230884
SP1 (promoter),32.79217806228072,0.7143941643365137,2.2591127064360155
SIN3A (promoter),31.65420111475164,0.42969164856445163,1.3588043010162878
POU2F2 (enhancer),31.269222356720018,0.5758496558412947,1.820996502282576
H3K9me3 (promoter),30.629421670193096,0.3231309543328445,1.021829798195643
NFIC (enhancer),30.590332528767227,0.7284802610550698,2.3036568554080765
CHD1 (promoter),30.188521027348077,0.8179288458136884,2.586518116723934
TCF12 (promoter),30.105135651555408,0.8716669364807916,2.756452880340617
SPI1 (promoter),30.062434595794837,0.8646028070981838,2.7341141418054575
CTCF (promoter),29.900154579591156,0.5114612327537362,1.61738243037932
MAX (promoter),29.689698515389843,0.5338112643433371,1.6880594359791725
FAIRE-seq (enhancer),29.65794731059838,0.513956812381126,1.625274146084186
WRNIP1 (promoter),29.522770030697142,0.6055115694033353,1.9147957088976626
KAT2A (promoter),29.387353944479152,0.7756640667243878,2.452865149997887
ELF1 (enhancer),28.535969874663987,0.5066368794438937,1.6021264856828454
FAIRE-seq (promoter),28.38939387839625,0.4941001598822967,1.5624818974814114
NFKB1 (enhancer),28.37027209845515,0.5720881190613971,1.809101478555604
ATF2 (enhancer),27.798381722899677,0.47928462580790687,1.515631065054505
NRF1 (promoter),26.833813671973395,0.20251805587964652,0.6404183238889377
NFYB (promoter),26.08246469618036,0.5043970258009863,1.595043446545833
TCF3 (promoter),26.009446379847454,0.410827338324774,1.2991501141708697
MEF2A (enhancer),25.776942302835465,0.37994938591194904,1.201505455064051
ZNF143 (promoter),25.61003978645447,0.3254249293178474,1.0290839840437027
H3K27me3 (promoter),25.090242536556868,0.349065243046831,1.1038412200282395
E2F4 (promoter),24.985763706637528,0.47888535159057,1.5143684491167395
ATF2 (promoter),24.97216343104234,0.41352677845777824,1.307686493398431
BHLHE40 (promoter),24.733181212075593,0.3938700113813257,1.2455263380014316
GABPA (promoter),24.524755492833627,0.4602784490682355,1.4555282569454304
RFX5 (promoter),23.79456609654732,0.5247492371365181,1.6594027897872108
USF2 (promoter),23.690282519510088,0.37631859941070567,1.190023900022328
FOXM1 (promoter),23.612651963612798,0.541087852499673,1.711070028148199
SP1 (enhancer),23.352311654408048,0.4737272597297732,1.4980571304562453
CREB1 (enhancer),23.215496322318252,0.39741312157150216,1.2567306362033417
ZNF143 (enhancer),22.97329004342366,0.34585457738923514,1.0936882037449542
TCF12 (enhancer),22.950706249084693,0.5230413047321816,1.6540018332998994
SRF (promoter),22.93629981930217,0.41521098295618514,1.313012415658898
REST (promoter),22.406432698903167,0.4254855353666213,1.3455034032146496
IRF3 (promoter),22.36671509671883,0.6256366182363825,1.9784367012322053
SIX5 (promoter),21.83330368459464,0.41519967342432684,1.3129766517789556
NFKB1 (promoter),21.594590392425552,0.38898620267285666,1.2300823788261042
BCL11A (enhancer),21.587090831792278,0.7725687953342019,2.4430770424285435
EGR1 (enhancer),21.565934667759976,0.35729758835827713,1.1298741816974174
IRF4 (enhancer),21.545821013879838,0.39524591373182105,1.2498773232669762
TBL1XR1 (promoter),21.541767825936667,0.5520841910625212,1.745843503929142
POLR2A (enhancer),21.22222651329125,0.33026050736907747,1.0443754244891081
BCL3 (promoter),21.190595709386272,0.5297015937720477,1.6750635165409324
BCLAF1 (promoter),20.95332440830459,0.4963652001220959,1.5696445836311108
WRNIP1 (enhancer),20.86876161541625,0.4946759248785454,1.5643026262665556
PBX3 (promoter),20.72750528729372,0.6035331814290267,1.9085394968033607
MTA3 (promoter),20.195855097820314,0.5202956026321408,1.645319160887463
BATF (promoter),20.128264442767957,0.4620052139176936,1.4609887668532358
ZEB1 (promoter),20.028266819256416,0.4389456017888385,1.3880678705660094
MAZ (enhancer),19.864022591080072,0.5926205239247317,1.87403064376446
NFIC (promoter),19.43039184961744,0.5444731172967738,1.7217751753898256
TCF3 (enhancer),19.394545456766416,0.3992224837705708,1.2624523418646094
CHD2 (enhancer),19.315705773384337,0.2889454194834136,0.9137256450403801
USF1 (promoter),19.140347791378733,0.39419230325945526,1.2465455144076945
IKZF1 (promoter),19.002569535156095,0.5247320400855849,1.6593484079372238
IRF3 (enhancer),18.504158160573766,0.5007544526106517,1.5835246187205092
IKZF1 (enhancer),18.379850041373288,0.4249120862266612,1.343689997810111
MXI1 (enhancer),17.95004112929917,0.07617502162795632,0.24088656915692944
BHLHE40 (enhancer),17.75947516947586,0.36656364189223334,1.1591760157857713
ETS1 (promoter),17.7462555527737,0.35724979273358354,1.1297230386611952
TBP (enhancer),17.487018863140776,0.3806735838174847,1.2037955699222669
STAT5A (promoter),17.473293077989904,0.2750730889012097,0.8698574839458061
STAT1 (promoter),17.36319757200752,0.463225930015764,1.4648490100995717
MEF2A (promoter),17.326073171618773,0.36027923426072267,1.1393029739252536
TBL1XR1 (enhancer),17.200924476366545,0.28283579378829704,0.8944053121927222
MYC (promoter),17.01578159712256,0.45276608821094844,1.4317720860313081
ELK1 (promoter),16.880199768835205,0.4449585461614499,1.4070824702273537
BCL3 (enhancer),16.423970180496195,0.38414995782264866,1.2147888297771872
SUPT20H (enhancer),16.09415129184369,0.5101950649128405,1.6133784561020317
MEF2C (promoter),16.035223305104314,0.3067093154959233,0.9699000165582936
MTA3 (enhancer),15.83490594710631,0.4612087778004349,1.4584702147118773
BCL11A (promoter),15.826994313892461,0.39256370631882515,1.2413954386849213
PBX3 (enhancer),15.548051912003976,0.40911750429536253,1.293743144217066
TAF1 (enhancer),15.47394922856547,0.25523899133187344,0.8071365602926941
NFATC1 (enhancer),15.462912446391476,0.4276811833963844,1.3524466519287621
MEF2C (enhancer),14.950386698662815,0.30885024485221313,0.9766702296336877
NFATC1 (promoter),14.738321076531221,0.43678783671201243,1.3812444182676709
YY1 (promoter),14.548457784043999,0.4946612202215714,1.5642561260583063
PML (enhancer),14.533015854295675,0.30103298204009976,0.9519498740792764
SRF (enhancer),14.416807452810962,0.2224234203944617,0.7033646134116461
IRF4 (promoter),14.100234744908207,0.47413472964031084,1.4993456634515294
USF2 (enhancer),14.098663508705332,0.30561975724067,0.966454530828254
SUPT20H (promoter),13.725425889296677,0.14732500397127823,0.465882568842591
STAT3 (enhancer),13.448848581410271,0.3340816988036164,1.0564590927977773
SREBF1 (promoter),12.851828741661999,0.27101208542544897,0.8570154633765417
MAX (enhancer),12.711185377372399,0.24193603542876324,0.7650689200260836
NFYB (enhancer),12.70867105556923,0.21059932145073734,0.6659735294702861
ZBTB33 (promoter),12.692762485082369,0.24002537814140396,0.7590268911700294
ZEB1 (enhancer),12.590286493633709,0.30279214574072183,0.9575128381503328
USF1 (enhancer),12.479505182724969,0.3447208307234531,1.0901029819914614
STAT5A (enhancer),12.465086096554645,0.41343785310410736,1.3074052867390948
JUND (enhancer),12.402597020070905,0.2883994479407665,0.9119991314279795
STAT3 (promoter),12.256785214598276,0.29595842386704757,0.9359027121334087
