feature,mean,sem,std
CAGE (window),100.0,0.0,0.0
H3K27ac (window),89.10558004477905,2.01723938244723,6.379071034324733
DNase-seq (window),87.3018832148076,1.8856564355663163,5.962969220944098
H3K79me2 (window),83.42791378860434,1.3889521861856255,4.392252469416835
H3K4me3 (window),83.30487009201472,1.0660389311506842,3.371111096847586
RAD21 (window),82.79318629338941,0.6802422309633769,2.1511148104785858
ZNF384 (window),81.51268893958964,1.2553222676863118,3.9696775634163344
H2AZ (window),81.2862632601898,1.6313468499767485,5.158771699667529
H3K9me3 (window),78.93276658273386,1.4581584285190767,4.611101823492107
SUPT20H (window),78.39238138651251,2.275078883713627,7.194431129088417
H3K4me2 (promoter),77.2870825511878,1.2233877202236747,3.86869165738765
CUX1 (window),76.58061703762077,1.073139845553271,3.3935661598296543
CTCF (window),76.30933401249652,1.3115424675627243,4.147461445535715
H3K4me1 (window),75.33895220502447,1.0709521430420512,3.386648037051329
H3K9ac (window),74.57959509176858,0.8297554268231789,2.6239170496464173
H3K36me3 (window),74.06201746360095,1.2066384846655867,3.81572592395741
H3K4me2 (window),72.98692858278405,1.0180138318896623,3.2192423983270873
RUNX3 (window),71.17805834548983,1.7165295637767317,5.428143092549733
H3K9ac (promoter),69.93155917486149,1.4138363676422376,4.470943160528656
H3K4me3 (promoter),67.35015184117535,1.38856656093411,4.391033015298771
SPI1 (window),67.03334221501943,1.1117094203869247,3.5155338646883094
EBF1 (window),65.84522830667612,1.3555876612506892,4.286744577572955
SP1 (window),65.6391393105589,1.226276059593724,3.877825388452542
H2AZ (promoter),65.15294665652216,1.1957463585607713,3.7812819969044162
SMC3 (window),65.01242381750151,1.7499348955632168,5.533780026988647
IRF3 (window),64.79238399857472,0.8306883851361462,2.626867322877382
H4K20me1 (window),64.34727393185109,1.1828842778821003,3.740608526510971
Methylation (window),63.89258173256462,1.3446002022049464,4.2519991812905875
TCF12 (window),60.55225898808637,1.567538309216292,4.956991376692794
ELF1 (window),60.01206650328722,1.6907617382711522,5.346658073602321
ZNF143 (window),59.63764015591418,1.6780516854447434,5.306465357489809
NFKB1 (window),59.632283081291085,1.1370894836463015,3.5957926717470974
CAGE (promoter),59.559870335408355,1.3951770732913147,4.411937290848226
BATF (window),59.552930767120834,0.9861540977116521,3.1184930726770625
PAX5 (window),59.42476737857851,1.5844330069327506,5.010417101856849
H3K9ac (enhancer),57.95027053166211,1.135025741618727,3.5892665464369475
POU2F2 (window),57.46531717966667,0.7463816495251882,2.3602660162531275
ATF2 (window),57.295965193722665,1.3570910035027712,4.2914985631923015
MAFK (window),56.151594235758864,0.8303357866841845,2.6257523086697336
CREB1 (window),55.87944285072132,1.1774089149929992,3.723293908765452
