feature,mean,sem,std
H3K4me1 (enhancer),100.0,2.1184291441043393e-15,6.6990611570507735e-15
CAGE (promoter),77.71914257925238,0.6154073756543335,1.9460889959345486
DNase-seq (promoter),76.61479304708266,0.6166777429063417,1.9501062499157837
H3K4me2 (enhancer),76.43029613577582,0.8145218069714547,2.575744113905812
H3K4me3 (promoter),75.85137919413279,0.48783593732481456,1.5426726864295628
H3K4me2 (promoter),75.64753240009206,0.8161180173899001,2.5807917744529902
H3K27ac (enhancer),73.45905180783548,0.5091471963956588,1.610064804899354
H3K9ac (promoter),71.62778523371892,0.6183662252877107,1.9554457000299748
H3K27ac (promoter),68.92509419245798,0.7119814874882932,2.251483152337682
H2AZ (promoter),68.8134624639656,0.6683751566894239,2.1135878266105057
H2AZ (enhancer),68.5126538307585,0.5430732328066584,1.7173483519399173
H3K4me1 (promoter),66.99848434182547,0.7336311931675493,2.3199455329564143
DNase-seq (enhancer),64.65780237446191,0.5753294861992738,1.8193515814441157
FAIRE-seq (promoter),61.191181759140214,0.621675040508301,1.9659090924836728
H3K79me2 (promoter),59.87724298671219,0.6432659475816829,2.0341855355845997
FAIRE-seq (enhancer),58.85433574323481,0.5185050899610062,1.639657062667286
H3K9ac (enhancer),53.2548544757931,0.5730192393782328,1.8120459395324626
POLR2A (promoter),50.12327603619376,0.5548312019498577,1.7545303150904055
CTCF (promoter),49.90856083493495,0.5163424153715626,1.6328180851268743
CAGE (enhancer),47.458381210437594,0.448439150175581,1.4180891065451329
FOS (enhancer),41.988670508639366,0.37575497856156864,1.188241574402297
H3K4me3 (enhancer),41.25845103840892,0.37276421476732274,1.1787839488689127
MAX (promoter),36.22078351215517,0.4487017898547411,1.4189196461352145
GATA2 (enhancer),33.83188021307504,0.38909271164898157,1.2304191897819114
JUN (enhancer),31.837188591948525,0.3072245487302355,0.9715293271049356
H3K79me2 (enhancer),31.074070819187575,0.29144941770139643,0.9216439826662085
MYC (promoter),27.38328070661919,0.4261299049991554,1.347541078908503
CTCF (enhancer),24.751549308014013,0.26586242567060003,0.8407308093763148
FOS (promoter),24.647509931445292,0.23959626039703286,0.7576699017134229
GATA2 (promoter),21.964417161092776,0.304855367574529,0.9640373184633529
H3K27me3 (enhancer),12.975878871934347,0.26060997486246806,0.8241211015246257
JUN (promoter),11.58734455760368,0.2390919043739548,0.7560749879288717
H3K36me3 (promoter),10.577308295217168,0.24751940397979968,0.7827250816635128
MAX (enhancer),8.192445741355577,0.19372589237186227,0.6126150616437239
H3K36me3 (enhancer),7.781565763698056,0.1258958006955996,0.3981174780487054
H4K20me1 (promoter),7.1450845266058725,0.15380270488969788,0.4863668577461616
H3K9me1 (enhancer),6.4181279418333235,0.10516558535066466,0.33256278117293786
POLR2A (enhancer),5.1245126838611395,0.1293353703335899,0.40899435227551556
MYC (enhancer),4.94106658168133,0.12602164661084123,0.3985154377750974
EZH2 (enhancer),3.93917868820821,0.11296067415290874,0.357213016351303
H4K20me1 (enhancer),3.2258566018981,0.06025126502633924,0.19053122938967698
H3K27me3 (promoter),2.2155790872791252,0.024645430976008856,0.07793569580065458
H3K9me1 (promoter),1.1545564065829148,0.0768365843903115,0.2429786143011245
H3K9me3 (enhancer),0.9575078683292679,0.055836918467246775,0.1765718398816177
EZH2 (promoter),0.3158847176569641,0.017853838761827393,0.05645879546477505
H3K9me3 (promoter),0.0017006870137938612,0.0013207938491412072,0.0041767168828270446
