feature,mean,sem,std
DNase-seq (enhancer),100.0,0.0,0.0
H3K4me1 (enhancer),75.95551325053411,1.098111406321644,3.4725331685870167
H3K4me2 (enhancer),66.70264485174134,0.790953364473742,2.501214154710332
H2AZ (enhancer),55.98288297729132,0.7281212188474208,2.3025214642557703
CAGE (enhancer),53.07133161790456,0.5170168005788471,1.6349506784022183
DNase-seq (promoter),49.804825162381064,0.4276456972163675,1.35233443477445
H3K27ac (enhancer),48.08084750357945,0.692331667468886,2.1893449654639814
H3K4me2 (promoter),48.07541140728932,0.41078421761427086,1.299013754511355
H3K4me3 (promoter),45.82995499615889,0.5192818577569852,1.6421134181156485
CAGE (promoter),42.80598784707344,0.4840582067025726,1.530726453276713
H4K20me1 (enhancer),42.4311472085101,0.773316193378292,2.4454405225666234
H3K4me3 (enhancer),41.039163495023836,0.5667084688335378,1.7920895308205247
H2AZ (promoter),40.913869034292546,0.5323564208211905,1.6834588168100475
H3K27ac (promoter),40.59567777224136,0.49579495803218837,1.5678413198093086
H3K9ac (enhancer),38.67318659583292,0.7059474819844055,2.232401951531405
H3K36me3 (enhancer),38.12607431751083,0.6197355349128233,1.959775837267322
RAD21 (enhancer),37.48448045072261,0.4086253955759013,1.2921869598071396
CEBPB (enhancer),37.36676646930265,0.5291980741201867,1.6734712475943967
Methylation (promoter),36.17549802266964,0.5534003440755354,1.7500055451995602
H3K9ac (promoter),36.05617221385505,0.4092989410223654,1.2943168975256012
POLR2A (promoter),34.88364602627698,0.37479074848362115,1.1851924111675411
H3K79me2 (enhancer),33.33018197639113,0.536699953247705,1.6971942723686313
H3K4me1 (promoter),33.07457745680423,0.48511174809047786,1.5340580436717486
H3K9me3 (enhancer),32.482706652509954,0.65585503685025,2.073995731340455
SMC3 (promoter),32.41615243544531,0.2914025084701052,0.9214956426520405
CHD2 (promoter),32.19391321451671,0.49514817674359796,1.5657960177893842
SMC3 (enhancer),31.91266106495018,0.5867324603832329,1.8554109519655262
H3K79me2 (promoter),31.870911724147497,0.44950480410576465,1.4214590001620233
MAX (promoter),31.2895422965298,0.5968898439015455,1.8875314189512489
JUND (enhancer),30.006672458631563,0.5943333587446563,1.879447103051066
TAF1 (promoter),29.27924276511582,0.3177043610229657,1.004669403400994
MAZ (promoter),28.69723079955002,0.670447618890171,2.1201415275294715
HCFC1 (promoter),27.760781178958847,0.4477608954012969,1.4159442766245116
HA-E2F1 (promoter),27.142540874892973,0.33755873656169566,1.0674544516237134
Methylation (enhancer),26.983753977436987,0.45832531020624,1.4493518895549353
CTCF (enhancer),26.90257500949137,0.42046578417913144,1.3296295561748466
RAD21 (promoter),26.722473950951382,0.49682745981709325,1.5711063771377973
H3K36me3 (promoter),26.690249271664072,0.3218165456010582,1.017673272826785
TBP (promoter),26.658006427059597,0.3946742197275267,1.248069468088744
FAIRE-seq (promoter),26.051440337929602,0.3275001993106439,1.0356465639807408
CEBPB (promoter),25.00231142450461,0.3149020276057806,0.9958076470394864
TFAP2C (promoter),23.099649239285018,0.34657767235555526,1.0959748308031285
H3K27me3 (enhancer),22.70603281668108,0.2997301971966469,0.9478301066728195
E2F1 (promoter),22.621649683165614,0.36456363986692786,1.1528514540608563
