feature,mean,sem,std
CAGE (window),99.28474018983162,0.6937588401450728,2.19385808173509
H3K79me2 (window),95.90839377860529,0.8770684965324207,2.7735341130219417
H4K20me1 (window),85.39610226778662,2.015078441192661,6.372237538070474
H3K9ac (window),84.35468230848362,1.8871347728132875,5.967644133794389
H3K27ac (window),77.49485341076753,1.3979594022673545,4.420735787612396
EP300 (window),74.96791450181567,1.3437996080836394,4.249467480385917
CTCF (window),72.96132364449302,1.902571221315524,6.016458470045351
H3K36me3 (window),72.54843482887557,1.3402215189561888,4.2381525690720885
H2AZ (window),71.69413554526591,1.2276504984706984,3.882171745808465
H3K4me3 (window),70.54997253555842,1.6943523701786625,5.3580126486693285
H3K4me1 (window),69.34220394110287,1.6463729542705368,5.206288413595136
TBP (window),69.1722517059275,1.4112287359128364,4.462697104964824
RAD21 (window),68.975783324584,0.6885716572958577,2.177454769291808
DNase-seq (window),68.62182382923542,1.3369859986973922,4.227920955638673
JUND (window),66.37078589024732,1.06911604937181,3.3808417990559487
CEBPB (window),65.58156039015918,0.9882581481029942,3.1251466642254724
HCFC1 (window),65.21422240746759,1.684351842044275,5.32638820196007
TCF7L2 (window),64.5488460369934,1.3239597817489885,4.18672844078623
Methylation (window),64.46841646517146,1.0073503772816417,3.185521594039924
JUN (window),62.72062362354909,1.2626112785509533,3.9927274396383146
H3K4me2 (window),62.209990496581646,1.4012329211744488,4.431087563322439
TFAP2C (window),62.2075130353975,1.7366644190157003,5.4918150954626475
MAX (window),60.36447682777664,1.5699453546450852,4.964603122679277
RCOR1 (window),59.63230836458806,1.4951416240188131,4.728052956422563
POLR2A (window),59.4685497519547,1.23389270506105,3.90191133625929
SMC3 (window),58.91729090308918,1.1210393225556725,3.5450376058880972
CHD2 (window),58.87275692396683,1.150770674214414,3.6390563950451456
STAT1 (window),58.37053985948735,1.3061374640658683,4.130369323724475
MAFK (window),58.253047262866986,0.8351623404948475,2.6410152119607937
TFAP2A (window),57.80141774075817,1.3628819197573363,4.309811048296019
RFX5 (window),56.71413317872386,1.3199706926078647,4.174113833310834
H3K9me3 (window),55.70786732325418,1.2461496514064088,3.9406712038691003
STAT3 (window),55.13019351624384,0.8679545642822906,2.744713328671067
H3K4me3 (promoter),52.873457628839255,1.8671043844941415,5.904302484288256
