feature,mean,sem,std
H3K4me3 (window),100.0,0.0,0.0
CTCF (window),88.91341884881533,1.3402711656843944,4.238309565811593
H2AZ (window),88.8558908208689,1.8788777868173268,5.941533251439039
RAD21 (window),88.536081752199,1.8025870379865596,5.700280720733987
LMNB1 (window),87.11331197185098,1.6977444574478535,5.368739370462033
H3K79me1 (window),85.99281226553089,1.4779891734875563,4.673812145290427
H4K16ac (window),85.63550731333287,1.726522677646668,5.459744093296151
H2AY (window),81.9967749748376,1.2747690184585692,4.031173588946306
CEBPB (window),75.92826152319212,1.51915674771633,4.803995445597401
H3K36me3 (window),75.0460756969382,1.5467194634698054,4.891156405878188
MAFK (window),73.94186306303757,1.3048798558776897,4.126392417445753
H3K4me1 (window),71.53877824163213,1.5378382038738116,4.863071397063621
H2AK9ac (window),70.73207039991482,1.6142610106556172,5.104741531677089
H3k9me1 (window),70.65480036616586,1.632557140099528,5.1625989730851165
MXI1 (window),70.62228426980033,1.6220711802409058,5.1294394564787735
H3K23ac (window),69.20582878872916,1.31736838754399,4.1658846221424
Methylation (window),68.70907865574961,2.015661430712746,6.374081112805951
H3K79me2 (window),68.28474611709217,1.6552386536688706,5.2343242167442545
H4K91ac (window),67.67982603023144,1.5447622287402196,4.884967086217113
H2BK12ac (window),67.46126111130039,1.3459816525162889,4.256367710748779
H3K9ac (window),67.35751061550678,1.4065920719015452,4.4480346859442115
H3K4me2 (window),67.35084089900135,1.040803587226926,3.2913099325108193
DNase-seq (window),66.3963994904669,1.1552047641452956,3.6530782185767503
EP300 (window),66.15928634659625,1.5919380025296452,5.03414998177257
H3K9me3 (window),65.75435034119847,1.1061383239827824,3.497916510986846
H3K27me3 (window),64.8727791037804,1.0242752068220342,3.2390426043976652
MAZ (window),64.86299316071963,1.7609559323059834,5.568631605272192
H3K4ac (window),64.77690540972813,1.8437629023087339,5.8304902366181235
H2AK5ac (window),64.24120819892146,1.234191253897724,3.902855430575973
H3K14ac (window),64.21872517546694,1.6884076277777547,5.3392137225794825
DNase-seq (promoter),63.882292493966574,1.5482136383066152,4.895881401585017
H4K5ac (window),63.39279048603147,1.9047658585702438,6.023398522408125
H2BK15ac (window),63.33730923867232,1.716345914923914,5.4275623438851515
H3K18ac (window),63.309017749745905,1.5386376571719877,4.8655994903687905
H4K20me1 (window),63.04001285882341,1.33352631102272,4.216980462593898
H3K56ac (window),62.20437837363905,1.7267241671377773,5.460381259012644
H2BK20ac (window),61.97555099129651,1.2579517114192031,3.977992594591526
H3K4me3 (promoter),61.34972863327435,1.2166973059517008,3.8475347097981154
H2BK120ac (window),60.349652832632486,1.482586220514394,4.688349284406139
H3K27ac (window),59.95693860695096,1.2888337816503987,4.075650275383387
YAP1 (window),59.8198056542804,0.9521689155579394,3.0110224903756238
H4K8ac (window),59.78914847219934,1.358021001378593,4.294439474699017
POLR2A (window),59.558361105083534,1.1286737825973177,3.5691798883252397
H2BK5ac (window),56.85135923024237,1.2000813076102939,3.7949903094416895
RCOR1 (window),53.02518802956381,1.5217791184319538,4.812288109928098
H4K16ac (promoter),52.86860624716063,1.3397476501024825,4.236654064182163
H3K27ac (promoter),49.529547822707386,0.875241008630978,2.7677550888569815
RAD21 (promoter),49.175452843057684,0.8966234225747306,2.8353722187917834
H3K9ac (promoter),48.00877704880771,1.3717430477037118,4.337832395244735
H3K4me2 (promoter),47.466570392507,0.7191413171118085,2.2741245216067365
H2AZ (promoter),45.79156842439394,1.2513409838140463,3.9570876383682805
MAZ (promoter),45.1581627409893,1.0299937397229812,3.257126193239268
MXI1 (promoter),45.04220302039825,0.5766376253662144,1.8234882807081232
POLR2A (promoter),44.49528685539233,1.0721169985806738,3.3903316336984393
H2BK120ac (promoter),40.96165659941656,0.9660912206782734,3.055048684835704
Methylation (promoter),40.01527438354502,0.9378521580590937,2.965748927970976
H2BK5ac (promoter),39.941050005538344,0.4287753893080691,1.3559068348389067
CHD1 (window),39.84682888716522,1.310264533111718,4.143420261970138
H3K4me1 (enhancer),38.714233788943545,1.3800881298121386,4.364221861968485
H4K5ac (promoter),37.518197387101246,0.8704830336714967,2.7527090509349734
CTCF (promoter),35.05427436751752,1.0752034970468454,3.400091998846157
RBL2 (window),35.01215882382555,1.199915192901876,3.7944650086102345
H3K4me2 (enhancer),34.952063135155456,0.8138427626937053,2.57359678735602
H3K18ac (promoter),32.44236304512725,0.971387495348223,3.0717969759066013
H3K9ac (enhancer),31.122675905104916,0.9345889943035341,2.955429898125299
CHD1 (promoter),30.946726149171276,0.5101277564243387,1.6131656079725027
MECP2 (window),30.578808513094287,0.6814031122672118,2.1547858394918102
H4K8ac (enhancer),29.952348303239443,0.9819813101459328,3.10529755977736
EP300 (promoter),29.873755097195243,1.0202072501561323,3.226178595910551
RFX5 (window),29.588236505379502,0.634555480033204,2.006640618646423
POLR3D (window),29.27515954377621,0.6529495053775097,2.064807634073292
H4K8ac (promoter),28.747170832163626,0.718669518104197,2.272632562144877
H2AZ (enhancer),28.53132108592842,0.5865962421140295,1.8549801919759175
H3K4ac (promoter),28.292976619073478,0.8216929770566365,2.5984213448634503
H4K5ac (enhancer),28.270815685533297,0.7509548977171409,2.374727896844945
RELA (window),27.958717222345182,0.749314619279664,2.369540880985656
H2AK9ac (promoter),26.3714114954648,0.7499439595064814,2.371531029525566
H3K18ac (enhancer),25.352076436259278,0.6323176604384896,1.9995640117345708
H4K91ac (promoter),25.228191467938778,0.8558684993641859,2.7064938355812
H4K16ac (enhancer),24.93125543741502,0.5497507598824086,1.7384645466367319
TP53 (window),24.871965091791544,1.2623798756731992,3.9919956794874945
H2AK5ac (enhancer),24.487809773181876,0.44488243232193864,1.4068417771330375
DNase-seq (enhancer),24.225490057191287,0.7371358843044012,2.3310283394442712
H3K4ac (enhancer),24.02996601362727,0.7869134973370514,2.488438973113927
H2BK15ac (enhancer),23.680102197982514,0.6325123259733823,2.0001795982067665
CTCF (enhancer),23.36620982779997,0.5693133135945114,1.8003267732163584
H2BK120ac (enhancer),23.266524601796323,0.4598114957074372,1.4540516207642373
LMNB1 (promoter),23.125064706027796,0.6557516463534253,2.0736687818820725
H3K56ac (promoter),22.584496190321786,0.8514585754869817,2.692548431821274
RBL2 (promoter),22.306731234383058,0.534705333873593,1.6908867320813379
RAD21 (enhancer),22.269849577013577,0.5313986618458829,1.6804301169986067
H3K27ac (enhancer),22.111605276992172,0.6407135373438092,2.0261141057097865
H3K4me3 (enhancer),21.362380622857103,0.42594143234747445,1.3469450760525397
H2BK12ac (enhancer),21.263767157536584,0.5289220681281673,1.672598440011761
H2BK12ac (promoter),20.49296482162868,0.4730514356795625,1.4959199871600595
H4K91ac (enhancer),20.228817178914305,0.7101337550970858,2.2456401094749974
MECP2 (promoter),19.441341496069235,0.7247670246558919,2.291914570896032
MXI1 (enhancer),19.417482635407527,0.5639477468897623,1.7833593614917873
LMNB1 (enhancer),19.347987317847945,0.7170250656386775,2.2674323468499558
RB1 (window),19.010869199343915,0.7477260836284108,2.364517490183317
H2BK20ac (enhancer),18.99108146225016,0.8632324508876177,2.7297806949743113
H3K36me3 (enhancer),18.79647450848267,0.543698661943999,1.7193261325289477
H2BK5ac (enhancer),18.595811675582627,0.7516294702146323,2.3768610823839262
MAZ (enhancer),18.3946689747937,0.4230909316378041,1.337931001338055
MAFK (enhancer),17.784517310800563,0.44315114479437795,1.4013669652613043
H3k9me1 (enhancer),17.5434574337921,0.5169560774114883,1.6347586548866249
H3K14ac (promoter),17.264951925300306,0.43993575321682243,1.391199004306907
CHD1 (enhancer),16.457220039779408,0.43450543060461544,1.3740268164228175
H3K23ac (promoter),16.074360781156074,0.42268851001799934,1.3366584324397777
H3K14ac (enhancer),16.006195573659205,0.5292848203947921,1.6737455634006841
CEBPB (promoter),15.993185780795276,0.44219803555338777,1.398352969200821
EP300 (enhancer),15.852842921565616,0.4343774304961903,1.3736220445394456
H2AK5ac (promoter),15.398061221857436,0.8458802804116444,2.6749083139227077
H3K56ac (enhancer),15.243000743256966,0.8314440738007894,2.629257020259626
RCOR1 (promoter),14.875359074803658,0.576682690847039,1.8236307902713795
H2BK15ac (promoter),14.66994316716009,0.31946235958842967,1.0102286829911689
H2AK9ac (enhancer),14.263815394125976,0.6443179337144517,2.0375122078310612
H2BK20ac (promoter),13.834046714541529,0.26841414822573995,0.8488000646073816
H3K79me2 (promoter),13.725609203507224,0.3662864297077459,1.1582993938876402
CEBPB (enhancer),13.722613186840652,0.6670270186008845,2.1093246396502954
H3K23ac (enhancer),13.698500982407424,0.5442110582594102,1.7209464719503254
H4K20me1 (enhancer),13.100070246697001,0.5616070064287995,1.7759572902238319
RCOR1 (enhancer),13.026304588602889,0.5323409550933087,1.6834099098842685
H2AY (enhancer),12.766467810117387,0.39973708205421066,1.2640796445209248
H3K79me1 (enhancer),12.707787135538812,0.20714914801361464,0.6550631230863666
POLR3D (promoter),12.695972721893563,0.5896111176187662,1.8645140654327352
Methylation (enhancer),12.478523066708824,0.5706932447174087,1.8046904985788674
H3K4me1 (promoter),11.326682455035264,0.4663683778420956,1.4747863026590249
MAFK (promoter),10.895738890963404,0.3839919534444599,1.214289176061832
H3K79me1 (promoter),10.669937041426683,0.3434412300648743,1.086056529414901
H3K79me2 (enhancer),10.3917072906646,0.41614482725418095,1.3159654906205258
POLR3D (enhancer),9.255785386342534,0.2835578751616053,0.8966887339883587
H3K27me3 (enhancer),8.274941925906539,0.31204052383584413,0.9867587775933286
POLR2A (enhancer),7.603588522325642,0.33548772184292835,1.0609053280446756
YAP1 (enhancer),7.536857780230415,0.2953123289567917,0.9338595806323581
POLR3GL (window),7.473258488540037,0.4530517170394278,1.4326753236947085
H3K36me3 (promoter),7.016273597107959,0.3171526664655287,1.0029247920267745
H3K9me3 (enhancer),6.796727621557932,0.24627477488873634,0.7787892188936475
RB1 (promoter),6.72360466144922,0.34596830332407086,1.094047836728067
YAP1 (promoter),6.710262548642474,0.3352287296427155,1.0600863227957846
RFX5 (promoter),4.646138946005924,0.3567320268737378,1.128085719249407
TP53 (enhancer),4.473664615462091,0.20701985570872228,0.6546542649189738
H3K27me3 (promoter),3.9426858963681504,0.29970897584929507,0.9477629988801701
POLR3G (window),2.965459299742225,0.1618416206811219,0.5117881415653566
BDP1 (window),2.8708543474407096,0.24526193879803565,0.7755863499506125
MECP2 (enhancer),2.5002186636046533,0.24584339276127692,0.7774250688289868
H4K20me1 (promoter),2.4087650129437335,0.08371062471405366,0.26471623845199094
H3k9me1 (promoter),1.6611583413860807,0.13113757692998676,0.4146934299343094
RFX5 (enhancer),1.3059093978022778,0.09245188610949412,0.2923585340844846
GDOWN1 (window),1.1909815440240474,0.1006075944684117,0.31814914843073816
RBL2 (enhancer),0.5744178203160469,0.0717468742534392,0.22688353763856067
H3K9me3 (promoter),0.49455516120533494,0.10373220174933383,0.3280300242319977
POLR3G (promoter),0.4054770948434858,0.08760347961416683,0.2770265265368958
POLR3G (enhancer),0.2501835193366445,0.093463115249163,0.29555632140217075
BDP1 (promoter),0.23614524244212998,0.058951488116466055,0.1864209739043823
RELA (promoter),0.21084419853251113,0.04150482691833158,0.13124978695299516
POLR3GL (enhancer),0.20282999043074526,0.04691039412705857,0.14834369137769127
RB1 (enhancer),0.11547733894039854,0.031055264828967023,0.09820537019925521
POLR3GL (promoter),0.10199892691211002,0.02450797285898189,0.0775010150679714
RELA (enhancer),0.047267703892112545,0.023196467486695058,0.07335367092799794
BDP1 (enhancer),0.04705942257024822,0.01914424288470087,0.06053941159512701
GDOWN1 (promoter),0.011660845913251634,0.007813759322838874,0.024709276548545777
TP53 (promoter),0.0014490126032000645,0.0009376845258608048,0.0029652188284152023
H1B (window),6.105461104323211e-05,6.105461104323211e-05,0.00019307163255228256
H2AY (promoter),0.0,0.0,0.0
GDOWN1 (enhancer),0.0,0.0,0.0
