feature,mean,sem,std
H2AZ (window),98.11169872788352,0.8547772188697014,2.703042903652514
CUX1 (window),93.47288949972776,1.9326848603673572,6.111686158085337
H4K20me1 (window),91.44622105130527,2.1140627320316234,6.685253349698134
CAGE (window),87.58667167832797,1.005479517891731,3.179605417185894
RAD21 (window),86.00290481106313,2.241846052871949,7.089339690533623
H3K79me2 (window),85.99506929630344,1.619016911889169,5.119781011901917
H3K36me3 (window),84.75905441051154,1.7437063687825969,5.514083695894532
WHSC1 (window),82.39594918016967,2.40623825414637,7.6091934761296285
CTCF (window),78.74336471642361,2.1021997973609503,6.647739456405028
SUMO2-C (window),78.40908063153748,1.9588370197227096,6.194386547379932
DNase-seq (window),78.36110841781765,2.638796089454667,8.344605923422174
ZMIZ1 (window),78.28711548266637,2.6744657922421546,8.457403427691892
H3K27ac (window),77.46049610036425,1.3561104002635815,4.2883976234755234
H3K4me1 (window),76.11362183073712,2.5644782646716355,8.109592326358486
H3K9me3 (window),74.46359014180145,2.1295765126083253,6.734312231440593
SRF (window),73.96195607351618,1.7683248604248245,5.591934202041791
H3K4me3 (window),73.55579266359636,2.0637163395634524,6.526044077525968
H3K9me1 (window),72.96742156530456,1.9176049481013,6.063999288409086
ZC3H11A (window),72.46639223515686,2.074741575305326,6.560908934210584
ZNF384 (window),72.36316216689025,1.858603071818346,5.877418973131482
KDM1A (window),72.22031856624771,1.3215420648730016,4.179082948720684
HCFC1 (window),69.64025059988845,1.7852502770234706,5.645457068840732
Methylation (window),69.03466369757587,1.5305770113034072,4.84010949001205
ZNF143 (window),68.55557600722005,1.989576287872695,6.291592648340556
YY1 (window),68.20602694736917,1.6758305686052464,5.2994415693276435
MAX (window),67.81936656695908,1.9923157713620516,6.300255655779349
CREBBP (window),67.62092735665809,2.1589159246903793,6.827091598830146
ATF3 (window),66.08751383190675,1.6846523737406587,5.327338566629717
SMC3 (promoter),66.08030800979766,1.6746347654131948,5.2956601076074605
MAZ (window),65.88277845555342,1.5502687581438357,4.902380261135228
H3K9ac (window),65.5282765355978,1.6518599234426605,5.223639733630175
SPI1 (window),65.51962126086961,2.17211920490481,6.868844036893184
JUND (window),65.39641825618293,1.548501566425576,4.896791910243341
CBX3 (window),65.09199004495694,1.637539799136418,5.17835552444571
MAFF (window),65.02336291405685,1.6241614988937931,5.136049624457432
SMC3 (window),64.52963951408337,1.5326226243572079,4.846578286473433
H3K4me2 (window),64.34764349059101,2.0931987552870894,6.619275662136621
MEF2A (window),63.59152484132136,1.7730278056096145,5.606806220536648
CEBPD (window),63.57277846236396,0.6880862762108354,2.175919859529974
REST (window),63.56869412175365,1.6547080204001785,5.232646207012928
BHLHE40 (window),63.182087714908484,2.335428224480401,7.385272501201077
NR2F2 (window),62.742831931793226,1.4248127530370578,4.505653538852094
CBX8 (window),62.68054430057301,1.8728283677956625,5.922403308809833
SUMO2-HS (window),61.91777385318388,2.0375989991743557,6.443453795470513
RNF2 (window),61.830224698383674,1.682417966494208,5.320272750510547
NCOR1 (window),60.92448925447114,1.538159435360519,4.864087220217778
